Latitude [degrees_north],Longitude [degrees_east],u-velocity [m/s],v-velocity [m/s]
-17.5,135,0.317907,-0.0179204,
-17.5,137.5,0.174982,-0.0090104,
-17.5,140,0.0275094,-0.0394688,
-17.5,142.5,-0.08159,-0.100124,
-17.5,145,-0.14578,-0.164186,
-17.5,147.5,-0.175572,-0.238098,
-17.5,150,-0.201653,-0.329806,
-17.5,152.5,-0.253655,-0.418866,
-17.5,155,-0.328231,-0.464158,
-17.5,157.5,-0.420779,-0.436422,
-17.5,160,-0.543787,-0.242713,
-17.5,162.5,-0.65575,0.0523085,
-17.5,165,-0.732865,0.294028,
-17.5,167.5,-0.780665,0.393056,
-17.5,170,-0.795838,0.374385,
-17.5,172.5,-0.768772,0.317671,
-17.5,175,-0.704647,0.284949,
-17.5,177.5,-0.635469,0.284131,
-17.5,180,-0.589997,0.268634,
-17.5,182.5,-0.550371,0.157073,
-17.5,185,-0.52781,-0.0114209,
-17.5,187.5,-0.549116,-0.133574,
-17.5,190,-0.596456,-0.159133,
-17.5,192.5,-0.632195,-0.132186,
-17.5,195,-0.64507,-0.127621,
-17.5,197.5,-0.661637,-0.173623,
-17.5,200,-0.712207,-0.226534,
-17.5,202.5,-0.785678,-0.239769,
-17.5,205,-0.866118,-0.216657,
-17.5,207.5,-0.95152,-0.171458,
-17.5,210,-0.989965,-0.0976897,
-17.5,212.5,-0.957602,0.0125683,
-17.5,215,-0.897404,0.145452,
-17.5,217.5,-0.871651,0.264264,
-17.5,220,-0.89182,0.33,
-17.5,222.5,-0.895397,0.337904,
-17.5,225,-0.84496,0.359518,
-17.5,227.5,-0.793602,0.457788,
-17.5,230,-0.755538,0.521347,
-17.5,232.5,-0.688354,0.504974,
-17.5,235,-0.579931,0.475513,
-17.5,237.5,-0.485391,0.4511,
-17.5,240,-0.446615,0.405135,
-17.5,242.5,-0.451887,0.324639,
-17.5,245,-0.475303,0.258887,
-17.5,247.5,-0.51768,0.340497,
-17.5,250,-0.514576,0.526625,
-17.5,252.5,-0.47759,0.604239,
-17.5,255,-0.438981,0.613808,
-17.5,257.5,-0.364673,0.648218,
-17.5,260,-0.242989,0.670361,
-17.5,262.5,-0.107789,0.624249,
-17.5,265,-0.0104278,0.522209,
-17.5,267.5,0.0296552,0.403623,
-17.5,270,0.0504908,0.273588,
-17.5,272.5,-0.00974591,0.1477,
-17.5,275,-0.0991477,0.0821618,
-17.5,277.5,-0.132407,0.0853095,
-17.5,280,-0.114071,0.128587,
-17.5,282.5,-0.103391,0.137876,
-17.5,285,-0.110815,0.119275,
-17.5,287.5,-0.0563015,0.123702,
-17.5,290,0.113914,0.084738,
-17.5,292.5,0.0890785,-0.105851,
-17.5,295,-0.0622361,-0.0939605,
-17.5,297.5,-0.0366095,0.0317617,
-17.5,300,0.0596153,0.175769,
-17.5,302.5,0.112921,0.299232,
-17.5,305,0.156999,0.366401,
-17.5,307.5,0.206615,0.391266,
-17.5,310,0.24774,0.413316,
-17.5,312.5,0.364379,0.409831,
-17.5,315,0.48613,0.330846,
-17.5,317.5,0.707972,0.367282,
-17.5,320,0.879906,0.344711,
-17.5,322.5,1.08132,0.341701,
-17.5,325,1.29419,0.288958,
-17.5,327.5,1.4476,0.161107,
-17.5,330,1.50585,-5.3114e-05,
-17.5,332.5,1.48829,-0.140774,
-17.5,335,1.41809,-0.251048,
-17.5,337.5,1.30615,-0.354864,
-17.5,340,1.16289,-0.474166,
-17.5,342.5,1.00273,-0.584768,
-17.5,345,0.826516,-0.651418,
-17.5,347.5,0.637916,-0.679576,
-17.5,350,0.446523,-0.687717,
-17.5,352.5,0.276045,-0.66434,
-17.5,355,0.146437,-0.588827,
-17.5,357.5,0.027911,-0.480986,
-15,40,-0.209071,-0.35212,
-15,42.5,-0.215022,-0.308747,
-15,45,-0.279873,-0.25248,
-15,47.5,-0.322939,-0.190815,
-15,50,-0.284393,-0.189816,
-15,52.5,-0.177318,-0.226327,
-15,55,-0.0611757,-0.270363,
-15,57.5,0.0117598,-0.266779,
-15,60,0.0225673,-0.205505,
-15,62.5,-0.0111496,-0.137563,
-15,65,-0.051538,-0.110828,
-15,67.5,-0.0735181,-0.116135,
-15,70,-0.0762214,-0.151397,
-15,72.5,-0.0744812,-0.225335,
-15,75,-0.0808858,-0.312946,
-15,77.5,-0.101803,-0.371016,
-15,80,-0.132178,-0.379919,
-15,82.5,-0.162464,-0.347659,
-15,85,-0.187287,-0.293417,
-15,87.5,-0.209323,-0.230093,
-15,90,-0.235716,-0.167642,
-15,92.5,-0.28117,-0.124554,
-15,95,-0.336836,-0.104094,
-15,97.5,-0.375435,-0.0892638,
-15,100,-0.37948,-0.0567679,
-15,102.5,-0.363685,-0.00304739,
