Latitude [degrees_north],Longitude [degrees_east],u-velocity [m/s],v-velocity [m/s]
-17.5,145,-0.0560608,-0.652004,
-17.5,147.5,-0.0356413,-0.481602,
-17.5,150,-0.103678,-0.307123,
-17.5,152.5,-0.289519,-0.115321,
-17.5,155,-0.433531,0.0237873,
-17.5,157.5,-0.380456,-0.0132073,
-17.5,160,-0.301285,-0.0759226,
-17.5,162.5,-0.323545,-0.0799795,
-17.5,165,-0.3592,-0.0599532,
-17.5,167.5,-0.333776,-0.0819588,
-17.5,170,-0.242543,-0.221132,
-17.5,172.5,-0.12527,-0.483197,
-17.5,175,-0.0225101,-0.741167,
-17.5,177.5,0.0472128,-0.77823,
-17.5,180,0.0734307,-0.547938,
-17.5,182.5,0.024779,-0.397692,
-17.5,185,-0.0600432,-0.513584,
-17.5,187.5,-0.166385,-0.734086,
-17.5,190,-0.286582,-0.862533,
-17.5,192.5,-0.383872,-0.81885,
-17.5,195,-0.413009,-0.646688,
-17.5,197.5,-0.365734,-0.451277,
-17.5,200,-0.296597,-0.322266,
-17.5,202.5,-0.271992,-0.274763,
-17.5,205,-0.305118,-0.254995,
-17.5,207.5,-0.359734,-0.215234,
-17.5,210,-0.396758,-0.182831,
-17.5,212.5,-0.38707,-0.149935,
-17.5,215,-0.325194,-0.0916478,
-17.5,217.5,-0.227419,-0.0303089,
-17.5,220,-0.121245,-0.0352657,
-17.5,222.5,-0.037765,-0.125937,
-17.5,225,-0.0233196,-0.124384,
-17.5,227.5,-0.103122,0.171431,
-17.5,230,-0.186618,0.529296,
-17.5,232.5,-0.194097,0.721682,
-17.5,235,-0.12774,0.740233,
-17.5,237.5,-0.0420787,0.690431,
-17.5,240,0.0449762,0.609127,
-17.5,242.5,0.159614,0.484603,
-17.5,245,0.296188,0.412894,
-17.5,247.5,0.394957,0.47814,
-17.5,250,0.422648,0.509034,
-17.5,252.5,0.380161,0.436618,
-17.5,255,0.360891,0.433235,
-17.5,257.5,0.448566,0.477916,
-17.5,260,0.622796,0.389212,
-17.5,262.5,0.793154,0.133814,
-17.5,265,0.884905,-0.141132,
-17.5,267.5,0.887609,-0.357099,
-17.5,270,0.765911,-0.492745,
-17.5,272.5,0.462289,-0.550709,
-17.5,275,0.244634,-0.431145,
-17.5,277.5,0.129353,-0.220839,
-17.5,280,-0.00176454,-0.0746052,
-17.5,282.5,-0.193527,0.0470005,
-17.5,285,-0.338063,0.13277,
-17.5,287.5,-0.247977,0.0875568,
-17.5,290,0.1059,-0.0370738,
-17.5,292.5,0.191575,-0.162415,
-17.5,295,-0.106372,0.0265733,
-17.5,297.5,-0.254821,0.23192,
-17.5,300,-0.321024,0.156365,
-17.5,302.5,-0.321881,0.300516,
-17.5,305,-0.239799,0.416965,
-17.5,307.5,-0.148327,0.322126,
-17.5,310,-0.191304,0.210315,
-17.5,312.5,-0.386444,0.0539062,
-17.5,315,-0.451515,0.112709,
-17.5,317.5,-0.445125,0.364859,
-17.5,320,-0.28784,0.580766,
-17.5,322.5,-0.04669,0.725152,
-17.5,325,0.187328,0.790848,
-17.5,327.5,0.386341,0.764349,
-17.5,330,0.550275,0.639749,
-17.5,332.5,0.652254,0.434371,
-17.5,335,0.641233,0.186077,
-17.5,337.5,0.551618,-0.0611701,
-17.5,340,0.397423,-0.277927,
-17.5,342.5,0.13005,-0.372138,
-17.5,345,-0.170887,-0.323625,
-17.5,347.5,-0.389223,-0.289528,
-17.5,350,-0.533819,-0.406237,
-17.5,352.5,-0.693833,-0.639753,
-17.5,355,-0.930863,-0.822165,
-17.5,357.5,-1.23902,-0.819494,
-15,40,-0.0515019,1.28186,
-15,42.5,-0.0515239,1.1175,
-15,45,-0.124644,0.96605,
-15,47.5,-0.0741976,1.00361,
-15,50,0.0257896,1.19629,
-15,52.5,0.0326177,1.20655,
-15,55,-0.0428945,1.0205,
-15,57.5,-0.102157,0.710388,
-15,60,-0.0917595,0.33598,
-15,62.5,-0.0405941,-0.0878855,
-15,65,0.0133642,-0.568832,
-15,67.5,0.0727216,-1.01014,
-15,70,0.0743092,-1.22898,
-15,72.5,0.032416,-1.32923,
